transaction_id,timestamp,location,product_id,quantity,revenue,payment_method,loyalty_member
1000,2025-11-17 06:10:00,Downtown,111,1.0,4.06,Mobile,True
1004,2025-11-17 06:22:00,Campus,111,1.0,3.23,Mobile,False
1001,2025-11-17 06:43:00,Downtown,111,1.0,4.02,Credit,False
1003,2025-11-17 06:47:00,Suburb,104,1.0,2.37,Cash,False
1002,2025-11-17 06:54:00,Campus,103,1.0,4.2,Credit,False
1020,2025-11-17 07:03:00,Campus,102,1.0,4.06,Mobile,False
1018,2025-11-17 07:06:00,Suburb,107,1.0,1.95,Mobile,True
1016,2025-11-17 07:20:00,Suburb,112,1.0,3.02,Credit,True
1015,2025-11-17 07:20:00,Downtown,105,1.0,4.15,Credit,True
1006,2025-11-17 07:21:00,Downtown,102,1.0,5.68,Credit,False
1007,2025-11-17 07:28:00,Campus,102,1.0,3.68,Credit,False
1017,2025-11-17 07:28:00,Downtown,104,1.0,2.77,Credit,False
1005,2025-11-17 07:31:00,Suburb,108,1.0,2.94,Credit,False
1019,2025-11-17 07:32:00,Downtown,101,1.0,3.41,Mobile,True
1011,2025-11-17 07:32:00,Downtown,104,1.0,2.69,Credit,False
1008,2025-11-17 07:37:00,Campus,101,3.0,8.31,Mobile,False
1010,2025-11-17 07:38:00,Suburb,108,1.0,2.72,Credit,True
1013,2025-11-17 07:38:00,Campus,105,1.0,3.09,Credit,False
1014,2025-11-17 07:41:00,Suburb,112,1.0,3.45,Credit,True
1009,2025-11-17 07:54:00,Downtown,112,1.0,3.62,Credit,True
1012,2025-11-17 07:57:00,Campus,109,1.0,1.56,Credit,False
1024,2025-11-17 08:01:00,Campus,101,1.0,2.88,Credit,False
1023,2025-11-17 08:02:00,Campus,112,1.0,3.0,Credit,False
1043,2025-11-17 08:04:00,Campus,103,1.0,4.68,Cash,False
1036,2025-11-17 08:08:00,Downtown,104,1.0,2.81,Mobile,False
1051,2025-11-17 08:16:00,Downtown,102,1.0,4.74,Credit,True
1031,2025-11-17 08:17:00,Campus,105,1.0,3.35,Mobile,False
1033,2025-11-17 08:23:00,Downtown,103,1.0,5.57,Credit,False
1021,2025-11-17 08:28:00,Downtown,113,1.0,4.37,Credit,False
1026,2025-11-17 08:31:00,Campus,111,1.0,3.2,Mobile,False
1050,2025-11-17 08:33:00,Campus,105,1.0,3.5,Mobile,False
1027,2025-11-17 08:35:00,Downtown,106,1.0,10.91,Mobile,True
1041,2025-11-17 08:35:00,Downtown,102,1.0,4.99,Credit,True
1042,2025-11-17 08:35:00,Suburb,114,1.0,4.86,Mobile,True
1028,2025-11-17 08:36:00,Campus,105,1.0,3.08,Credit,False
1035,2025-11-17 08:36:00,Campus,105,3.0,10.4,Mobile,True
1029,2025-11-17 08:36:00,Suburb,108,1.0,2.49,Credit,True
1049,2025-11-17 08:37:00,Downtown,104,1.0,2.69,Mobile,False
1040,2025-11-17 08:38:00,Suburb,109,2.0,3.52,Credit,False
1044,2025-11-17 08:39:00,Campus,114,1.0,4.08,Mobile,False
1048,2025-11-17 08:41:00,Suburb,109,2.0,3.54,Credit,True
1032,2025-11-17 08:41:00,Campus,104,1.0,2.15,Mobile,False
1034,2025-11-17 08:42:00,Downtown,114,2.0,12.13,Cash,True
1045,2025-11-17 08:44:00,Downtown,115,1.0,10.34,Credit,True
1025,2025-11-17 08:46:00,Campus,101,1.0,2.49,Mobile,False
1047,2025-11-17 08:46:00,Campus,101,1.0,2.55,Credit,False
1038,2025-11-17 08:47:00,Campus,112,1.0,3.03,Credit,True
1037,2025-11-17 08:47:00,Campus,102,1.0,3.72,Mobile,False
1046,2025-11-17 08:47:00,Downtown,105,1.0,3.88,Mobile,False
1022,2025-11-17 08:49:00,Campus,103,1.0,4.11,Cash,False
